,user,window,mood,arousal,valence,activity,predicted_mood
158,AS14.06,2014-03-29-2014-04-02,7.43,-0.16,0.67,0.1743780672258915,7.2
159,AS14.06,2014-03-30-2014-04-03,7.3100000000000005,-0.16,0.55,0.19397667037456276,7.0
160,AS14.06,2014-03-31-2014-04-04,7.15,-0.24000000000000005,0.43,0.18162186178446005,7.0
161,AS14.06,2014-04-01-2014-04-05,7.15,-0.27999999999999997,0.51,0.20795555076795366,7.0
162,AS14.06,2014-04-02-2014-04-06,7.0,-0.48,0.44000000000000006,0.1668699710149954,6.2
163,AS14.06,2014-04-03-2014-04-07,6.88,-0.48,0.36000000000000004,0.17334890874393313,6.6
164,AS14.06,2014-04-04-2014-04-08,6.76,-0.52,0.27999999999999997,0.16642384105883004,7.4
165,AS14.06,2014-04-05-2014-04-09,6.839999999999999,-0.36000000000000004,0.4,0.15713827420050774,7.6
166,AS14.06,2014-04-06-2014-04-10,6.959999999999999,-0.31999999999999995,0.4,0.14354034287207026,7.8
167,AS14.06,2014-04-07-2014-04-11,7.12,-0.16,0.52,0.18063853985744138,8.2
168,AS14.06,2014-04-08-2014-04-12,7.5200000000000005,0.04,0.72,0.18843154423868108,6.5
169,AS14.06,2014-04-09-2014-04-13,7.5,-0.22000000000000003,0.77,0.22239013889989012,7.25
170,AS14.06,2014-04-10-2014-04-14,7.469999999999999,-0.35,0.76,0.23751953142407195,7.0
171,AS14.06,2014-04-11-2014-04-15,7.35,-0.39,0.72,0.23277540380782152,7.6
172,AS14.06,2014-04-12-2014-04-16,7.31,-0.35,0.6,0.22060507886640868,6.8
173,AS14.06,2014-04-13-2014-04-17,7.029999999999999,-0.39,0.52,0.204156771040863,6.25
174,AS14.06,2014-04-14-2014-04-18,6.980000000000001,-0.29,0.5700000000000001,0.16445155953299492,6.8
175,AS14.06,2014-04-15-2014-04-19,6.889999999999999,-0.2,0.54,0.14835574974015125,8.2
176,AS14.06,2014-04-16-2014-04-20,7.13,-2.2204460492503132e-17,0.5800000000000001,0.11417454173304369,7.0
177,AS14.06,2014-04-17-2014-04-21,7.01,0.03999999999999998,0.62,0.10080939929597836,6.6
178,AS14.06,2014-04-18-2014-04-22,6.970000000000001,-0.08000000000000002,0.62,0.09937482063359553,7.0
179,AS14.06,2014-04-19-2014-04-23,7.12,0.12,0.68,0.09687719661327408,7.75
180,AS14.06,2014-04-20-2014-04-24,7.31,0.030000000000000006,0.71,0.12436652137032309,6.4
181,AS14.06,2014-04-21-2014-04-25,6.95,-0.29,0.63,0.1714350079603614,7.5
182,AS14.06,2014-04-22-2014-04-26,7.05,-0.32999999999999996,0.71,0.19710657787037672,7.2
183,AS14.06,2014-04-23-2014-04-27,7.17,-0.37,0.79,0.18015018593860402,6.75
184,AS14.06,2014-04-24-2014-04-28,7.119999999999999,-0.42000000000000004,0.73,0.18786960183631507,7.25
185,AS14.06,2014-04-25-2014-04-29,7.0200000000000005,-0.37,0.78,0.17576692247816636,6.8
186,AS14.06,2014-04-26-2014-04-30,7.1,-0.29,0.82,0.1445437779813205,8.0
187,AS14.06,2014-04-27-2014-05-01,7.2,-0.29,0.82,0.16856970245367356,7.2
188,AS14.06,2014-04-28-2014-05-02,7.2,-0.32,0.82,0.19367926525831516,6.25
189,AS14.06,2014-04-29-2014-05-03,7.1,-0.42000000000000004,0.72,0.20326612121281817,7.6
190,AS14.06,2014-04-30-2014-05-04,7.17,-0.5800000000000001,0.67,0.20164480946675883,7.0
191,AS14.07,2014-03-25-2014-03-29,7.263333333333333,0.07,0.9666666666666666,0.09346291540884119,6.2
192,AS14.07,2014-03-26-2014-03-30,6.970000000000001,0.21000000000000002,0.7,0.07910862709941054,4.333333333333333
193,AS14.07,2014-03-27-2014-03-31,6.5166666666666675,-0.02999999999999998,0.58,0.06872309618903176,6.6
